id	official_tokens	generated_model_tokens	scored_tokens	generated_runtime_tokens	nll	avg_nll	first_match	lcp	gen_tps	acceptance_pct	output_file
case_025	24	128	24	128	3.011485577	0.125478566	1	14	31.776792	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_025.txt
case_026	24	128	24	128	6.387348179	0.266139507	1	4	31.798880	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_026.txt
case_027	24	128	24	128	6.891521527	0.287146730	1	7	31.783278	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_027.txt
case_028	24	128	24	128	5.205287687	0.216886987	1	2	31.715614	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_028.txt
case_029	24	128	24	128	6.913997293	0.288083221	0	0	31.788022	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_029.txt
case_030	24	128	24	128	1.731994629	0.072166443	0	0	31.671558	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_030.txt
case_031	24	128	24	128	0.861374907	0.035890621	1	24	31.835427	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_031.txt
case_032	24	128	24	128	1.338692117	0.055778838	0	0	31.761873	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_032.txt
case_033	24	128	24	128	2.832682042	0.118028418	0	0	31.821015	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_033.txt
case_034	24	128	24	128	3.044890978	0.126870457	1	17	31.809548	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_034.txt
case_035	24	128	24	128	2.838484467	0.118270186	1	21	31.824583	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_035.txt
case_036	24	128	24	128	2.928660378	0.122027516	1	5	31.776863	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_036.txt
case_037	24	128	24	128	3.800721133	0.158363381	0	0	31.665133	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_037.txt
case_038	24	128	24	128	2.999574883	0.124982287	1	18	31.787011	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_038.txt
case_039	24	128	24	128	5.679178937	0.236632456	0	0	31.779640	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_039.txt
case_040	24	128	24	128	5.224635609	0.217693150	1	16	31.637075	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_040.txt
case_041	24	128	24	128	4.865192368	0.202716349	1	3	31.800033	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_041.txt
case_042	24	128	24	128	5.080778158	0.211699090	1	1	31.863441	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_042.txt
case_043	24	128	24	128	1.788589305	0.074524554	1	20	31.848489	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_043.txt
case_044	24	128	24	128	4.390427206	0.182934467	0	0	31.782615	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_044.txt
case_045	24	128	24	128	8.577169139	0.357382047	1	3	31.807335	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_045.txt
case_046	24	128	24	128	5.174314357	0.215596432	0	0	31.807335	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_046.txt
