mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
ane,8k,10000,8192,64,1,ok,342.75,17144,3972.503,2150.454,18899.69,3709,3709,7924,,,1551951,76.51%,34590.795,34590.795,3152.651,2544.995,16.114,3.851,10009.209,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr64_r1.summary.txt
ane,8k,10000,8192,128,1,ok,343.76,17155,3995.157,2085.346,19043.86,2968,2968,7119,,,1476718,81.03%,33288.182,33288.182,3215.378,2051.270,13.371,8.424,9792.758,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr128_r1.summary.txt
ane,8k,10000,8192,256,1,ok,340.55,17184,3974.466,2029.571,19319.00,1819,1819,5933,,,1250397,82.33%,29607.521,29607.521,2852.722,1330.402,9.207,6.107,9851.193,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr256_r1.summary.txt
ane,8k,10000,8192,512,1,ok,330.51,17575,3941.114,2009.887,19934.67,825,825,3872,,,876141,88.39%,18507.635,18507.635,1881.055,712.874,4.352,5.768,9946.874,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr512_r1.summary.txt
gpu,8k,10000,16384,0,1,ok,370.44,10553,2821.554,1130.404,18024.67,,,,,,,,,,,,,4.054,9956.524,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c16384_r1.summary.txt
ane,8k,10000,16384,32,1,ok,380.32,9803,3049.077,1395.375,14888.28,4148,4148,8568,,,1629995,74.31%,38386.451,38386.451,3777.725,2790.703,17.962,1.647,10085.104,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr32_r1.summary.txt
ane,8k,10000,16384,64,1,ok,384.76,9803,2838.440,1357.407,15770.42,3675,3675,8095,,,1610890,77.73%,36116.130,36116.130,3485.569,2504.909,16.352,5.101,9930.530,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr64_r1.summary.txt
ane,8k,10000,16384,128,1,ok,383.49,9908,2850.207,1313.385,16062.81,2986,2986,7356,,,1534999,81.51%,34554.388,34554.388,3416.281,2086.384,13.561,6.134,9852.539,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr128_r1.summary.txt
ane,8k,10000,16384,256,1,ok,379.83,10026,2949.107,1269.896,16040.64,1875,1875,6199,,,1311742,82.66%,31148.623,31148.623,3002.897,1383.256,9.576,7.066,9865.757,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr256_r1.summary.txt
ane,8k,10000,16384,512,1,ok,371.89,10205,2967.933,1216.582,16461.59,849,849,4097,,,931693,88.83%,20122.072,20122.072,2099.469,714.907,4.577,2.925,9884.788,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c16384_mr512_r1.summary.txt
