id	a_tokens	b_tokens	lcp	div_index	token_a	token_b	logit_a	logit_b	gap	prob_a	prob_b	note
case_079	128	128	34	34	38470	24940	34.797867	34.718933	0.078934	0.287471755	0.265652986	flip
case_080	16	16	16	-1	-1	-1	0	0	0	0	0	equal
case_081	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_082	128	128	77	77	9062	5709	35.445541	35.041313	0.404228	0.453846923	0.302939088	flip
case_083	24	26	7	7	17057	4	38.241047	37.962265	0.278782	0.568784818	0.430402276	flip
case_084	21	21	21	-1	-1	-1	0	0	0	0	0	equal
case_085	109	116	18	18	1561	734	36.024437	35.454582	0.569855	0.497463571	0.281369191	flip
case_086	128	128	87	87	305	965	34.974869	34.899208	0.075661	0.466446733	0.432457097	flip
case_087	128	128	10	10	9708	4521	37.194519	36.961590	0.232929	0.503571659	0.398934321	flip
case_088	128	128	70	70	14	979	36.142654	36.045574	0.097080	0.507590560	0.460629903	flip
case_089	128	128	108	108	666	28986	39.803341	39.742813	0.060528	0.475581482	0.447649440	flip
case_090	128	128	7	7	2619	37199	35.321480	35.314064	0.007416	0.482924668	0.479356655	flip
case_091	128	128	70	70	3712	19	162.175262	162.163330	0.011932	0.251792808	0.248806176	flip
case_092	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_093	128	128	48	48	36357	1840	38.110703	38.105225	0.005478	0.464799632	0.462260465	flip
case_094	7	7	7	-1	-1	-1	0	0	0	0	0	equal
case_095	13	13	13	-1	-1	-1	0	0	0	0	0	equal
case_096	11	11	11	-1	-1	-1	0	0	0	0	0	equal
case_097	10	10	10	-1	-1	-1	0	0	0	0	0	equal
case_098	8	8	8	-1	-1	-1	0	0	0	0	0	equal
case_099	15	33	14	14	16	14	37.481426	37.371323	0.110104	0.527153628	0.472193289	flip
