id	byte_equal	base_generated	candidate_generated	base_tps	candidate_tps	speedup	candidate_acceptance_pct	char_lcp	token_lcp	candidate_max_repeated_line_run	base_output	candidate_output
case_064	0	128	128	31.838064	35.948503	1.129105	73.780	43	8	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_064.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_064.txt
case_065	0	128	128	31.810007	32.160028	1.011003	62.434	37	6	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_065.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_065.txt
case_066	0	128	128	31.789269	29.474330	0.927179	55.000	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_066.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_066.txt
case_067	0	128	128	31.830463	35.464137	1.114157	71.687	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_067.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_067.txt
case_068	0	128	128	31.826585	33.116284	1.040523	69.277	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_068.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_068.txt
case_069	0	128	128	31.722814	33.120671	1.044065	66.667	4	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_069.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_069.txt
case_070	0	128	128	31.812695	44.573289	1.401116	88.489	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_070.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_070.txt
case_071	0	128	128	31.685631	34.640376	1.093252	68.571	37	6	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_071.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_071.txt
case_072	0	128	128	31.816965	33.203976	1.043593	64.865	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_072.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_072.txt
case_073	0	128	128	31.764900	38.626793	1.216021	77.707	25	5	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_073.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_073.txt
case_074	0	128	128	31.841493	32.503644	1.020795	67.429	56	7	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_074.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_074.txt
case_075	0	128	128	31.772611	29.005698	0.912915	59.358	3	1	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_075.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_075.txt
case_076	0	128	128	31.803858	32.169550	1.011498	71.429	435	60	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_076.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_076.txt
case_077	0	128	128	31.783664	27.332025	0.859939	54.167	11	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_077.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_077.txt
case_078	0	128	128	31.601107	29.945044	0.947595	61.376	26	3	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_078.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_078.txt
case_079	0	128	128	31.761621	29.222123	0.920045	58.421	62	9	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_079.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_079.txt
case_080	0	16	38	31.869018	28.587334	0.897026	61.111	24	4	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_080.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_080.txt
case_081	0	128	128	31.632971	40.076923	1.266935	78.808	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_081.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_081.txt
case_082	0	128	84	31.821806	31.450756	0.988340	66.364	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_082.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_082.txt
case_083	0	24	58	31.657842	41.797645	1.320294	84.615	36	5	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_083.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_083.txt
case_084	0	21	21	31.568219	34.196830	1.083268	75.000	12	3	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_084.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_084.txt
case_085	0	109	128	31.758769	31.238217	0.983609	61.053	50	9	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_085.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_085.txt
case_086	0	128	128	31.886921	30.222444	0.947801	61.538	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_086.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_086.txt
case_087	0	128	128	31.688777	30.695458	0.968654	61.340	15	3	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_087.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_087.txt
case_088	0	128	128	31.846920	32.362664	1.016194	70.000	21	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_088.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_088.txt
case_089	0	128	128	31.828184	35.175765	1.105177	71.515	96	16	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_089.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_089.txt
case_090	0	128	128	31.827922	31.947375	1.003753	66.474	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_090.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_090.txt
case_091	0	128	128	31.835205	33.641733	1.056746	69.412	2	1	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_091.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_091.txt
case_092	0	128	128	31.830922	40.168406	1.261930	81.333	72	17	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_092.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_092.txt
case_093	0	128	128	31.746103	29.323014	0.923673	61.749	55	12	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_093.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_093.txt
case_094	0	7	8	31.916543	36.224665	1.134981	80.000	24	5	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_094.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_094.txt
case_095	1	13	13	31.718070	43.460383	1.370209	100.000	36	6	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_095.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_095.txt
case_096	0	11	29	31.767026	29.537885	0.929828	62.791	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_096.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_096.txt
case_097	1	10	10	31.696625	29.109116	0.918366	71.429	33	6	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_097.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_097.txt
case_098	0	8	22	31.735201	35.685436	1.124475	78.571	13	4	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_098.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_098.txt
case_099	0	15	39	31.962497	34.720553	1.086290	72.000	3	1	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_099.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_099.txt
