id	byte_equal	base_generated	candidate_generated	base_tps	candidate_tps	speedup	candidate_acceptance_pct	char_lcp	token_lcp	candidate_max_repeated_line_run	base_output	candidate_output
case_039	1	128	128	31.779640	27.488941	0.864986	40.385	477	70	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_039.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_039.txt
case_040	1	128	128	31.637075	25.013611	0.790642	34.335	541	83	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_040.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_040.txt
case_041	1	128	128	31.800033	25.939170	0.815696	37.387	570	93	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_041.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_041.txt
case_042	1	128	128	31.863441	28.784505	0.903371	41.546	445	76	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_042.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_042.txt
case_043	1	128	128	31.848489	39.339260	1.235200	85.124	481	58	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_043.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_043.txt
case_044	1	128	128	31.782615	31.515194	0.991586	50.000	522	77	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_044.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_044.txt
case_045	1	128	128	31.807335	25.301248	0.795453	32.231	644	100	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_045.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_045.txt
case_046	1	128	128	31.807335	28.738865	0.903529	44.898	535	92	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_046.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_046.txt
case_047	1	128	128	31.801803	28.619404	0.899930	38.356	605	96	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_047.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_047.txt
case_048	1	128	128	31.677029	26.329761	0.831194	44.221	610	90	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_048.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_048.txt
case_049	1	128	128	31.782268	30.004252	0.944056	42.365	624	100	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_049.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_049.txt
case_050	1	128	128	31.830716	30.236516	0.949916	48.108	482	75	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_050.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_050.txt
case_051	1	128	128	31.633526	24.997505	0.790222	32.099	466	72	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_051.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_051.txt
case_052	1	128	128	31.811382	26.388298	0.829524	40.094	459	72	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_052.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_052.txt
case_053	1	128	128	31.797308	33.499917	1.053546	60.377	411	50	3	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_053.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_053.txt
