mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	byte_equal_vs_no_draft	char_lcp_vs_no_draft	token_lcp_vs_no_draft	chars	words	lines	max_repeated_line_run	early_stop	output_file
fast_relaxed	case_032	18	128	3.575935	35.794834	166	122	35	73.494	0	0	0	442	63	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_032.txt
fast_relaxed	case_033	15	128	4.087173	31.317490	185	118	40	63.784	0	24	1	479	72	6	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_033.txt
fast_relaxed	case_034	22	128	3.293770	38.861244	153	120	32	78.431	0	23	4	365	36	15	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_034.txt
fast_relaxed	case_035	23	128	3.981298	32.150319	6	6	2	100.000	0	8	1	461	76	12	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_035.txt
fast_relaxed	case_036	21	128	4.006611	31.947199	178	116	41	65.169	0	8	2	445	63	12	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_036.txt
fast_relaxed	case_037	18	128	4.227052	30.281151	189	117	40	61.905	0	28	4	467	70	7	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_037.txt
fast_relaxed	case_038	26	128	4.468453	28.645260	192	113	45	58.854	0	145	20	463	73	7	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_038.txt
fast_relaxed	case_039	23	128	4.484078	28.545445	186	109	42	58.602	0	0	0	465	63	5	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_039.txt
fast_relaxed	case_040	21	128	4.043791	31.653466	180	115	41	63.889	0	0	0	550	89	7	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_040.txt
fast_relaxed	case_041	15	128	3.569617	35.858189	156	118	36	75.641	0	71	14	586	95	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_041.txt
fast_relaxed	case_042	14	128	4.219861	30.332753	194	119	43	61.340	0	0	0	539	90	10	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_042.txt
fast_relaxed	case_043	18	128	2.672872	47.888563	137	128	28	93.431	0	351	41	487	58	22	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_043.txt
fast_relaxed	case_044	20	128	3.544122	36.116138	163	122	35	74.847	0	1	0	495	75	14	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_044.txt
fast_relaxed	case_045	18	128	3.604083	35.515275	154	117	36	75.974	0	35	7	586	92	11	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_045.txt
fast_relaxed	case_046	19	128	3.658030	34.991512	162	118	37	72.840	0	42	9	547	99	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_046.txt
fast_relaxed	case_047	16	128	3.790652	33.767278	169	118	37	69.822	0	0	0	540	84	15	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_047.txt
fast_relaxed	case_048	18	128	4.208643	30.413604	184	116	40	63.043	0	98	13	578	85	8	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_048.txt
fast_relaxed	case_049	18	128	4.420639	28.955090	186	113	42	60.753	0	0	0	602	97	5	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_049.txt
fast_relaxed	case_050	27	128	4.344618	29.461739	175	104	44	59.429	0	76	12	491	74	7	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_050.txt
fast_relaxed	case_051	21	128	3.926502	32.598990	183	119	40	65.027	0	26	3	457	74	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_051.txt
fast_relaxed	case_052	19	128	3.964570	32.285973	8	6	2	75.000	0	71	9	480	73	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_052.txt
