mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
ane,8k,10000,8192,64,1,ok,345.43,17060,4681.933,2177.362,16788.17,3713,3713,7898,,,1551074,76.71%,34583.181,34583.181,3226.990,2488.340,16.892,9.334,9892.853,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr64_r1.summary.txt
ane,8k,10000,8192,128,1,ok,344.99,16994,4624.709,2093.369,17074.75,2947,2947,7131,,,1481580,81.16%,33500.860,33500.860,3241.769,2029.914,13.737,10.325,9815.433,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr128_r1.summary.txt
ane,8k,10000,8192,256,1,ok,339.32,17128,4710.968,2044.771,17113.45,1789,1789,5893,,,1246250,82.61%,28709.817,28709.817,2904.859,1319.929,8.908,8.954,9834.400,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr256_r1.summary.txt
ane,8k,10000,8192,512,1,ok,334.63,17400,4751.890,2005.111,17381.97,831,831,3979,,,900967,88.45%,19654.510,19654.510,2045.740,689.201,4.722,11.598,9810.342,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr512_r1.summary.txt
gpu,8k,10000,16384,0,1,ok,373.61,10518,3351.249,1131.395,15838.09,,,,,,,,,,,,,2.158,9912.363,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c16384_r1.summary.txt
ane,8k,10000,16384,32,1,ok,380.17,9852,3681.080,1442.332,12979.83,4159,4159,8548,,,1628774,74.43%,37844.675,37844.675,3729.824,2785.208,18.857,1.084,10105.258,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr32_r1.summary.txt
ane,8k,10000,16384,64,1,ok,384.88,9842,3462.557,1398.904,13665.34,3633,3633,8077,,,1613353,78.03%,36075.753,36075.753,3479.716,2463.639,16.956,5.750,9969.465,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr64_r1.summary.txt
ane,8k,10000,16384,128,1,ok,383.99,9925,3476.633,1352.182,13873.75,3009,3009,7364,,,1531179,81.22%,34388.839,34388.839,3359.571,2086.468,13.977,4.599,9873.338,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr128_r1.summary.txt
ane,8k,10000,16384,256,1,ok,379.85,10182,3619.674,1298.984,13973.02,1887,1887,6099,,,1285625,82.34%,29672.933,29672.933,2840.124,1389.192,9.370,4.699,9832.518,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr256_r1.summary.txt
ane,8k,10000,16384,512,1,ok,373.64,10248,3568.867,1213.856,14463.31,864,864,4010,,,903497,88.01%,19364.999,19364.999,1948.320,721.062,4.666,4.694,9836.775,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c16384_mr512_r1.summary.txt
